seed,scheduler,tx_size_dist,batch_size,num_executors,avg_remote_reads_per_batch,avg_runtime_per_batch_s
2000,best_program,heavy,128,8,767.6,0.000393
2000,paper,heavy,128,8,746.2,0.181
2000,best_program,heavy,128,16,842.2,0.000373
2000,paper,heavy,128,16,844.8,0.390804
2000,best_program,heavy,128,20,856.2,0.000379
2000,paper,heavy,128,20,861.0,0.487191
2000,best_program,heavy,256,4,1108.2,0.000724
2000,paper,heavy,256,4,1051.4,0.271328
2000,best_program,heavy,256,8,1437.4,0.000753
2000,paper,heavy,256,8,1464.6,0.553688
2000,best_program,heavy,256,16,1605.6,0.000901
2000,paper,heavy,256,16,1627.2,1.206864
2000,best_program,heavy,256,20,1644.8,0.000776
2000,paper,heavy,256,20,1683.6,1.568196
2000,best_program,heavy,512,4,2115.2,0.00136
2000,paper,heavy,512,4,2043.8,0.800624
2000,best_program,heavy,512,8,2718.4,0.001413
2000,paper,heavy,512,8,2815.8,1.602286
2000,best_program,heavy,512,16,3120.6,0.001524
2000,paper,heavy,512,16,3183.0,3.285786
2000,best_program,heavy,512,20,3197.6,0.001521
2000,paper,heavy,512,20,3324.6,4.466773
2000,best_program,heavy,1000,4,3977.0,0.002853
2000,paper,heavy,1000,4,3870.8,2.400275
2000,best_program,heavy,1000,8,5254.4,0.003114
2000,paper,heavy,1000,8,5420.4,4.75406
2000,best_program,heavy,1000,16,5833.4,0.002611
2000,paper,heavy,1000,16,6172.6,9.176586
2000,best_program,heavy,1000,20,5997.2,0.002684
2000,paper,heavy,1000,20,6323.2,12.134064
