seed,scheduler,tx_size_dist,cross_shard_prob,overlap_prob,zipf_alpha,avg_remote_reads_per_batch,avg_runtime_per_batch_s
1000,paper,medium,0.75,0.3,1.2,1896.0,2.142557
1000,best_program,medium,0.75,0.6,0.8,2338.4,0.002298
1000,paper,medium,0.75,0.6,0.8,2150.4,1.945209
1000,best_program,medium,0.75,0.6,1.2,2437.8,0.001696
1000,paper,medium,0.75,0.6,1.2,1935.8,2.310845
1000,best_program,medium,0.75,0.9,0.8,2312.0,0.001966
1000,paper,medium,0.75,0.9,0.8,2092.8,1.880594
1000,best_program,medium,0.75,0.9,1.2,2405.0,0.001659
1000,paper,medium,0.75,0.9,1.2,1829.2,2.10262
1000,best_program,heavy,0.25,0.0,0.8,5419.0,0.003419
1000,paper,heavy,0.25,0.0,0.8,5082.6,4.556817
1000,best_program,heavy,0.25,0.0,1.2,5188.6,0.003713
1000,paper,heavy,0.25,0.0,1.2,5329.2,5.240812
1000,best_program,heavy,0.25,0.3,0.8,5403.4,0.005446
1000,paper,heavy,0.25,0.3,0.8,5034.8,4.266692
1000,best_program,heavy,0.25,0.3,1.2,5210.0,0.002669
1000,paper,heavy,0.25,0.3,1.2,5318.2,4.879866
1000,best_program,heavy,0.25,0.6,0.8,5530.6,0.003187
1000,paper,heavy,0.25,0.6,0.8,5140.4,4.233481
1000,best_program,heavy,0.25,0.6,1.2,5007.0,0.002588
1000,paper,heavy,0.25,0.6,1.2,5314.0,4.715352
1000,best_program,heavy,0.25,0.9,0.8,5589.4,0.00302
1000,paper,heavy,0.25,0.9,0.8,5172.0,4.433971
1000,best_program,heavy,0.25,0.9,1.2,4835.2,0.002602
1000,paper,heavy,0.25,0.9,1.2,5262.2,5.038838
1000,best_program,heavy,0.5,0.0,0.8,5417.8,0.003459
1000,paper,heavy,0.5,0.0,0.8,5075.8,4.05348
1000,best_program,heavy,0.5,0.0,1.2,5249.6,0.002803
1000,paper,heavy,0.5,0.0,1.2,5370.0,4.647302
1000,best_program,heavy,0.5,0.3,0.8,5470.4,0.003272
1000,paper,heavy,0.5,0.3,0.8,5112.4,4.104999
1000,best_program,heavy,0.5,0.3,1.2,5172.8,0.002683
1000,paper,heavy,0.5,0.3,1.2,5295.0,4.639654
1000,best_program,heavy,0.5,0.6,0.8,5571.2,0.003253
1000,paper,heavy,0.5,0.6,0.8,5161.0,4.239076
1000,best_program,heavy,0.5,0.6,1.2,5121.0,0.00263
1000,paper,heavy,0.5,0.6,1.2,5328.2,4.612107
1000,best_program,heavy,0.5,0.9,0.8,5595.0,0.002989
1000,paper,heavy,0.5,0.9,0.8,5148.8,4.373493
1000,best_program,heavy,0.5,0.9,1.2,5062.0,0.002522
1000,paper,heavy,0.5,0.9,1.2,5426.4,5.315004
1000,best_program,heavy,0.75,0.0,0.8,5434.2,0.003668
1000,paper,heavy,0.75,0.0,0.8,5072.6,3.983905
1000,best_program,heavy,0.75,0.0,1.2,5199.6,0.002922
1000,paper,heavy,0.75,0.0,1.2,5172.8,4.589553
1000,best_program,heavy,0.75,0.3,0.8,5387.0,0.003529
1000,paper,heavy,0.75,0.3,0.8,5042.0,4.25057
1000,best_program,heavy,0.75,0.3,1.2,5294.2,0.002795
1000,paper,heavy,0.75,0.3,1.2,5327.8,4.95514
1000,best_program,heavy,0.75,0.6,0.8,5414.4,0.003162
1000,paper,heavy,0.75,0.6,0.8,5021.0,4.121019
1000,best_program,heavy,0.75,0.6,1.2,5165.4,0.00277
1000,paper,heavy,0.75,0.6,1.2,5369.0,4.91108
1000,best_program,heavy,0.75,0.9,0.8,5627.8,0.00326
1000,paper,heavy,0.75,0.9,0.8,5169.8,4.658002
1000,best_program,heavy,0.75,0.9,1.2,5019.2,0.002562
1000,paper,heavy,0.75,0.9,1.2,5179.2,4.826429
2000,best_program,light,0.25,0.0,0.8,1154.6,0.001665
2000,paper,light,0.25,0.0,0.8,1144.8,1.344522
2000,best_program,light,0.25,0.0,1.2,1344.2,0.001629
2000,paper,light,0.25,0.0,1.2,899.6,1.369356
2000,best_program,light,0.25,0.3,0.8,1166.6,0.001769
2000,paper,light,0.25,0.3,0.8,1114.0,1.365568
2000,best_program,light,0.25,0.3,1.2,1335.6,0.001435
2000,paper,light,0.25,0.3,1.2,864.6,1.366443
2000,best_program,light,0.25,0.6,0.8,1206.4,0.001487
2000,paper,light,0.25,0.6,0.8,1102.2,1.319527
2000,best_program,light,0.25,0.6,1.2,1395.8,0.001333
2000,paper,light,0.25,0.6,1.2,883.2,1.358752
2000,best_program,light,0.25,0.9,0.8,1247.6,0.001496
2000,paper,light,0.25,0.9,0.8,1094.4,1.28449
2000,best_program,light,0.25,0.9,1.2,1385.6,0.001235
2000,paper,light,0.25,0.9,1.2,860.8,1.325813
2000,best_program,light,0.5,0.0,0.8,1138.6,0.001693
2000,paper,light,0.5,0.0,0.8,1116.6,1.335334
2000,best_program,light,0.5,0.0,1.2,1350.0,0.001401
2000,paper,light,0.5,0.0,1.2,849.6,1.290798
2000,best_program,light,0.5,0.3,0.8,1150.4,0.001513
2000,paper,light,0.5,0.3,0.8,1080.0,1.269406
2000,best_program,light,0.5,0.3,1.2,1332.0,0.001413
2000,paper,light,0.5,0.3,1.2,850.4,1.293886
2000,best_program,light,0.5,0.6,0.8,1216.4,0.001568
2000,paper,light,0.5,0.6,0.8,1099.8,1.278703
2000,best_program,light,0.5,0.6,1.2,1387.2,0.001365
2000,paper,light,0.5,0.6,1.2,862.4,1.284247
2000,best_program,light,0.5,0.9,0.8,1261.4,0.001956
2000,paper,light,0.5,0.9,0.8,1072.8,1.319509
2000,best_program,light,0.5,0.9,1.2,1378.4,0.001289
2000,paper,light,0.5,0.9,1.2,831.6,1.30014
2000,best_program,light,0.75,0.0,0.8,1144.0,0.001669
2000,paper,light,0.75,0.0,0.8,1109.0,1.266342
2000,best_program,light,0.75,0.0,1.2,1340.6,0.00156
2000,paper,light,0.75,0.0,1.2,842.4,1.278974
2000,best_program,light,0.75,0.3,0.8,1178.0,0.0016
2000,paper,light,0.75,0.3,0.8,1111.0,1.255273
2000,best_program,light,0.75,0.3,1.2,1335.4,0.001443
2000,paper,light,0.75,0.3,1.2,828.6,1.276674
2000,best_program,light,0.75,0.6,0.8,1222.4,0.001724
2000,paper,light,0.75,0.6,0.8,1120.2,1.274411
2000,best_program,light,0.75,0.6,1.2,1360.6,0.001407
2000,paper,light,0.75,0.6,1.2,832.0,1.257631
2000,best_program,light,0.75,0.9,0.8,1271.2,0.001502
2000,paper,light,0.75,0.9,0.8,1110.2,1.242618
2000,best_program,light,0.75,0.9,1.2,1373.4,0.001319
2000,paper,light,0.75,0.9,1.2,864.6,1.278028
2000,best_program,medium,0.25,0.0,0.8,2292.2,0.002331
2000,paper,medium,0.25,0.0,0.8,2174.8,2.088864
2000,best_program,medium,0.25,0.0,1.2,2453.4,0.001806
2000,paper,medium,0.25,0.0,1.2,1997.2,2.352865
2000,best_program,medium,0.25,0.3,0.8,2312.8,0.002147
2000,paper,medium,0.25,0.3,0.8,2166.4,1.987048
2000,best_program,medium,0.25,0.3,1.2,2449.8,0.001785
2000,paper,medium,0.25,0.3,1.2,1970.8,2.315361
2000,best_program,medium,0.25,0.6,0.8,2366.2,0.00216
2000,paper,medium,0.25,0.6,0.8,2185.0,1.990722
2000,best_program,medium,0.25,0.6,1.2,2433.8,0.001723
2000,paper,medium,0.25,0.6,1.2,2001.0,2.315268
2000,best_program,medium,0.25,0.9,0.8,2315.0,0.002011
2000,paper,medium,0.25,0.9,0.8,2102.6,1.915908
2000,best_program,medium,0.25,0.9,1.2,2374.6,0.001639
2000,paper,medium,0.25,0.9,1.2,1977.2,2.3901
2000,best_program,medium,0.5,0.0,0.8,2274.8,0.002262
2000,paper,medium,0.5,0.0,0.8,2147.2,2.018532
2000,best_program,medium,0.5,0.0,1.2,2406.8,0.001778
2000,paper,medium,0.5,0.0,1.2,1877.2,2.256932
2000,best_program,medium,0.5,0.3,0.8,2304.8,0.002024
2000,paper,medium,0.5,0.3,0.8,2154.4,2.040031
2000,best_program,medium,0.5,0.3,1.2,2454.6,0.001751
2000,paper,medium,0.5,0.3,1.2,1928.6,2.375535
2000,best_program,medium,0.5,0.6,0.8,2370.0,0.002109
2000,paper,medium,0.5,0.6,0.8,2170.6,2.057702
2000,best_program,medium,0.5,0.6,1.2,2389.2,0.001721
2000,paper,medium,0.5,0.6,1.2,1897.0,2.243388
2000,best_program,medium,0.5,0.9,0.8,2356.6,0.002076
2000,paper,medium,0.5,0.9,0.8,2162.6,2.107204
2000,best_program,medium,0.5,0.9,1.2,2420.2,0.001661
2000,paper,medium,0.5,0.9,1.2,1918.4,2.276911
2000,best_program,medium,0.75,0.0,0.8,2224.0,0.002056
2000,paper,medium,0.75,0.0,0.8,2102.6,1.9799
2000,best_program,medium,0.75,0.0,1.2,2409.8,0.001897
2000,paper,medium,0.75,0.0,1.2,1894.8,2.200619
2000,best_program,medium,0.75,0.3,0.8,2262.0,0.002114
2000,paper,medium,0.75,0.3,0.8,2112.4,1.973459
2000,best_program,medium,0.75,0.3,1.2,2459.2,0.001877
2000,paper,medium,0.75,0.3,1.2,1939.2,2.270586
2000,best_program,medium,0.75,0.6,0.8,2248.6,0.001976
2000,paper,medium,0.75,0.6,0.8,2072.8,1.906652
2000,best_program,medium,0.75,0.6,1.2,2423.4,0.001686
2000,paper,medium,0.75,0.6,1.2,1895.8,2.202811
2000,best_program,medium,0.75,0.9,0.8,2357.0,0.001928
2000,paper,medium,0.75,0.9,0.8,2136.8,1.94599
2000,best_program,medium,0.75,0.9,1.2,2447.2,0.001737
2000,paper,medium,0.75,0.9,1.2,1898.2,2.152295
2000,best_program,heavy,0.25,0.0,0.8,5362.2,0.003726
2000,paper,heavy,0.25,0.0,0.8,5034.4,4.136929
2000,best_program,heavy,0.25,0.0,1.2,5184.4,0.002966
2000,paper,heavy,0.25,0.0,1.2,5388.6,4.683632
2000,best_program,heavy,0.25,0.3,0.8,5423.0,0.003219
2000,paper,heavy,0.25,0.3,0.8,5049.4,4.110823
2000,best_program,heavy,0.25,0.3,1.2,5120.8,0.002654
2000,paper,heavy,0.25,0.3,1.2,5415.4,4.978328
2000,best_program,heavy,0.25,0.6,0.8,5525.8,0.003109
2000,paper,heavy,0.25,0.6,0.8,5093.4,4.447275
2000,best_program,heavy,0.25,0.6,1.2,5000.0,0.002597
2000,paper,heavy,0.25,0.6,1.2,5492.0,4.878485
2000,best_program,heavy,0.25,0.9,0.8,5600.0,0.002991
2000,paper,heavy,0.25,0.9,0.8,5166.2,4.487319
2000,best_program,heavy,0.25,0.9,1.2,4731.0,0.002476
2000,paper,heavy,0.25,0.9,1.2,5209.8,4.799578
2000,best_program,heavy,0.5,0.0,0.8,5367.0,0.003366
2000,paper,heavy,0.5,0.0,0.8,5036.4,4.213402
2000,best_program,heavy,0.5,0.0,1.2,5225.6,0.00282
2000,paper,heavy,0.5,0.0,1.2,5211.8,4.677304
2000,best_program,heavy,0.5,0.3,0.8,5451.6,0.003277
2000,paper,heavy,0.5,0.3,0.8,5082.0,4.139802
2000,best_program,heavy,0.5,0.3,1.2,5164.8,0.002747
2000,paper,heavy,0.5,0.3,1.2,5241.0,4.403862
2000,best_program,heavy,0.5,0.6,0.8,5458.2,0.003188
2000,paper,heavy,0.5,0.6,0.8,5043.0,4.141938
2000,best_program,heavy,0.5,0.6,1.2,5254.4,0.002734
2000,paper,heavy,0.5,0.6,1.2,5420.4,4.727503
2000,best_program,heavy,0.5,0.9,0.8,5549.2,0.003018
2000,paper,heavy,0.5,0.9,0.8,5101.6,4.336405
2000,best_program,heavy,0.5,0.9,1.2,5029.2,0.002582
2000,paper,heavy,0.5,0.9,1.2,5309.2,4.677748
2000,best_program,heavy,0.75,0.0,0.8,5348.8,0.003447
2000,paper,heavy,0.75,0.0,0.8,5009.8,3.92897
2000,best_program,heavy,0.75,0.0,1.2,5172.2,0.002835
2000,paper,heavy,0.75,0.0,1.2,5142.8,4.385036
2000,best_program,heavy,0.75,0.3,0.8,5490.0,0.00327
2000,paper,heavy,0.75,0.3,0.8,5083.0,4.140607
2000,best_program,heavy,0.75,0.3,1.2,5234.6,0.002769
2000,paper,heavy,0.75,0.3,1.2,5284.6,4.642791
2000,best_program,heavy,0.75,0.6,0.8,5461.8,0.003156
2000,paper,heavy,0.75,0.6,0.8,5036.0,4.117454
2000,best_program,heavy,0.75,0.6,1.2,5258.8,0.002919
2000,paper,heavy,0.75,0.6,1.2,5315.0,4.565521
2000,best_program,heavy,0.75,0.9,0.8,5559.4,0.003016
2000,paper,heavy,0.75,0.9,0.8,5090.6,4.395605
2000,best_program,heavy,0.75,0.9,1.2,5005.0,0.002541
2000,paper,heavy,0.75,0.9,1.2,5330.6,4.80016
